Region,Company,Position,Location,Salary,Application URL,Company URL,Age (days)
International,HP,Data Analyst Internship,"Sant Cugat del Valles, Barcelona, Spain",,https://hp.wd5.myworkdayjobs.com/en-US/ExternalCareerSite/job/Sant-Cugat-del-Valles-Barcelona-Spain/Data-Analyst-Internship_UNI2467-1,https://www.hp.com,50.0
International,Marvell,Machine Learning Engineer - Intern,"Barcelona, Spain",,https://marvell.wd1.myworkdayjobs.com/en-US/MarvellCareers/job/Barcelona-Spain/Machine-Learning-Engineer--Intern_2500200,https://www.marvell.com,50.0
International,Sony,AI/ML Computer Graphics and Robotics for 3D Animation Research Intern,NA San Mateo,,https://sonyglobal.wd1.myworkdayjobs.com/en-US/SonyGlobalCareers/job/NA--San-Mateo-40/AI-ML-Computer-Graphics-and-Robotics-for-3D-Animation-Research-Intern_JR-117517,https://www.sony.com,50.0
International,Tencent,Data Science Intern,Singapore CapitaSpring,,https://tencent.wd1.myworkdayjobs.com/en-US/Tencent_Careers/job/Singapore-CapitaSpring/Data-Science-Intern_R104921,https://www.tencent.com,50.0
International,Tencent,Data Science Intern,Singapore CapitaSpring,,https://tencent.wd1.myworkdayjobs.com/en-US/Tencent_Careers/job/Singapore-CapitaSpring/Data-Science-Intern_R104924,https://www.tencent.com,50.0
International,Kingfisher,Internship Assistant Engineer AI,FR Templemars,,https://careers-kingfisher2.icims.com/jobs/112195/internship-assistant-engineer-ai/job,https://www.kingfisher.com/en/index.html,57.0
International,Razer,Data Analyst Intern,Bangsar South,,https://razer.wd3.myworkdayjobs.com/en-US/Careers/job/Bangsar-South/Data-Analyst-Intern_JR2025005633,https://www.razer.com,59.0
International,Trend Micro,AI Cyber Threat Research Intern,Canada Off Site,,https://trendmicro.wd3.myworkdayjobs.com/en-US/External/job/Canada-Off-Site/AI-Cyber-Threat-Research-Intern_R0007748,https://www.trendmicro.com,60.0
International,P&G - Procter & Gamble,Intern Data Analyst,Moscow,,https://pg.wd5.myworkdayjobs.com/en-US/1000/job/Moscow/Intern-Data-Analyst_R000118827,https://us.pg.com,61.0
International,DevRev,Applied AI Engineer - Internship,"Buenos Aires, Argentina",,https://job-boards.greenhouse.io/devrev/jobs/5228555004,https://devrev.ai,67.0
International,Shift Technologies,Data Science End-of Studies Internship Program - Fall 2025,France Paris,,https://www.shift-technology.com/careers?gh_jid=6341555003,https://www.shift-technology.com,67.0
International,Tower Research Capital,Machine Learning Intern 2025,Gurgaon,,https://www.tower-research.com/open-positions/?gh_jid=6114125,https://www.tower-research.com,68.0
International,P&G - Procter & Gamble,Data Science Internship,Brussels,,https://pg.wd5.myworkdayjobs.com/en-US/1000/job/Brussels/Data-Science-Internship_R000127114,https://us.pg.com,76.0
International,P&G - Procter & Gamble,Data Analyst internship,Paris,,https://pg.wd5.myworkdayjobs.com/en-US/1000/job/Paris/Data-Analyst-internship_R000118760,https://us.pg.com,76.0
